open_price;high_price;low_price;close_price;volume;close_time;quote_asset_volume;n_trades;Taker buy base asset volume;Taker buy quote asset volume;Ignore
17442.59000000;17442.97000000;17439.23000000;17440.65000000;86.42436000;2023-01-11 07:25:59.999;1507293.15124880;2465;39.67433000;691949.09109740;0
17440.18000000;17441.57000000;17440.00000000;17440.57000000;46.98369000;2023-01-11 07:26:59.999;819433.09174150;1720;22.45899000;391707.40289040;0
17440.57000000;17445.76000000;17440.01000000;17443.14000000;148.60094000;2023-01-11 07:27:59.999;2591996.46397010;2672;101.59188000;1772045.62499360;0
17443.14000000;17452.93000000;17442.01000000;17450.14000000;286.87070000;2023-01-11 07:28:59.999;5005224.92739040;4614;182.09884000;3177249.17904450;0
17450.13000000;17456.07000000;17448.72000000;17452.49000000;251.43098000;2023-01-11 07:29:59.999;4388216.43661550;4352;78.11398000;1363341.99596270;0
17452.10000000;17462.99000000;17451.03000000;17455.70000000;459.89838000;2023-01-11 07:30:59.999;8028516.09581380;6016;211.94936000;3700079.61169910;0
17455.33000000;17456.34000000;17441.90000000;17449.09000000;414.90257000;2023-01-11 07:31:59.999;7239973.75975570;4418;231.13772000;4033169.63579860;0
17450.42000000;17451.17000000;17435.00000000;17442.80000000;447.08422000;2023-01-11 07:32:59.999;7797947.10177810;5894;112.10799000;1955446.72766550;0
17442.80000000;17444.06000000;17440.00000000;17440.27000000;75.31294000;2023-01-11 07:33:59.999;1313578.31699500;2607;27.96357000;487740.97417990;0
17440.64000000;17442.15000000;17439.42000000;17441.43000000;87.92894000;2023-01-11 07:34:59.999;1533519.05614510;2360;47.23890000;823879.63692520;0
17441.43000000;17449.05000000;17440.99000000;17448.72000000;140.13682000;2023-01-11 07:35:59.999;2444600.28304090;3339;77.76848000;1356637.74450610;0
17448.32000000;17454.10000000;17448.25000000;17453.53000000;90.12468000;2023-01-11 07:36:59.999;1572780.76997210;2633;50.38561000;879305.47248970;0
17453.53000000;17454.20000000;17446.25000000;17449.03000000;110.39982000;2023-01-11 07:37:59.999;1926406.06215090;2892;48.26029000;842101.63659790;0
17449.32000000;17450.53000000;17443.66000000;17448.57000000;196.49226000;2023-01-11 07:38:59.999;3428176.74793390;3456;95.45951000;1665486.44269200;0
17448.93000000;17449.52000000;17441.59000000;17442.28000000;109.46262000;2023-01-11 07:39:59.999;1909575.96708920;2635;36.15856000;630772.44442580;0
17442.28000000;17445.81000000;17440.12000000;17440.74000000;277.40889000;2023-01-11 07:40:59.999;4838724.80403830;3391;130.52895000;2276734.80679900;0
17441.18000000;17449.93000000;17440.74000000;17443.88000000;198.79099000;2023-01-11 07:41:59.999;3468021.20978350;3756;137.50889000;2398946.34538880;0
17443.88000000;17446.59000000;17441.30000000;17441.53000000;200.12627000;2023-01-11 07:42:59.999;3490986.80298960;2695;101.19040000;1765130.20070520;0
17441.98000000;17451.12000000;17441.04000000;17447.57000000;176.65779000;2023-01-11 07:43:59.999;3082125.39988970;3084;117.68949000;2053325.20427010;0
17447.57000000;17450.77000000;17445.39000000;17449.55000000;269.39609000;2023-01-11 07:44:59.999;4700364.90625980;2749;151.18313000;2637804.44180300;0
17449.57000000;17450.44000000;17435.52000000;17446.93000000;286.95712000;2023-01-11 07:45:59.999;5005668.68363460;4312;108.53176000;1893384.60625020;0
17446.93000000;17448.73000000;17445.00000000;17447.02000000;65.48802000;2023-01-11 07:46:59.999;1142544.69994760;2175;36.42602000;635513.16656270;0
17447.38000000;17448.33000000;17445.80000000;17446.00000000;74.04522000;2023-01-11 07:47:59.999;1291857.62664180;1947;41.71557000;727806.78891450;0
17446.00000000;17448.58000000;17444.97000000;17448.36000000;131.67134000;2023-01-11 07:48:59.999;2297278.59693610;2816;61.07991000;1065671.66239010;0
17448.07000000;17448.46000000;17441.10000000;17442.74000000;193.17476000;2023-01-11 07:49:59.999;3369829.42822020;4082;84.26498000;1469971.21013030;0
17442.74000000;17446.50000000;17441.48000000;17445.53000000;105.95614000;2023-01-11 07:50:59.999;1848283.06849440;2519;45.48637000;793471.44613460;0
17445.87000000;17448.64000000;17443.45000000;17443.84000000;134.94051000;2023-01-11 07:51:59.999;2354234.49696450;2841;60.50364000;1055581.74901730;0
17443.84000000;17446.64000000;17441.90000000;17443.40000000;139.40180000;2023-01-11 07:52:59.999;2431724.58779110;2600;85.97979000;1499874.02269330;0
17443.40000000;17448.81000000;17441.50000000;17448.04000000;125.01242000;2023-01-11 07:53:59.999;2180884.12887210;2824;71.11138000;1240562.71157490;0
17448.04000000;17449.00000000;17444.19000000;17444.19000000;103.61733000;2023-01-11 07:54:59.999;1807792.46809870;2176;41.89121000;730880.16479850;0
17444.19000000;17445.60000000;17442.23000000;17444.79000000;120.08682000;2023-01-11 07:55:59.999;2094845.57936230;2338;43.13354000;752448.47943580;0
17445.09000000;17447.32000000;17444.05000000;17446.61000000;113.30487000;2023-01-11 07:56:59.999;1976731.93891210;2264;46.75326000;815666.69268380;0
17446.44000000;17448.65000000;17443.03000000;17443.40000000;155.93604000;2023-01-11 07:57:59.999;2720485.90306360;2597;79.86855000;1393427.10323140;0
17443.40000000;17446.88000000;17441.34000000;17441.92000000;257.13287000;2023-01-11 07:58:59.999;4485360.27128950;2678;126.79151000;2211705.34243800;0
17441.92000000;17456.63000000;17441.22000000;17446.65000000;394.83545000;2023-01-11 07:59:59.999;6888890.73938320;5364;274.11118000;4782770.26861350;0
17447.02000000;17448.76000000;17445.17000000;17446.17000000;148.83907000;2023-01-11 08:00:59.999;2596757.02788860;3536;80.45041000;1403622.66220080;0
17446.17000000;17449.06000000;17445.83000000;17446.99000000;124.86816000;2023-01-11 08:01:59.999;2178607.69247530;3586;51.97926000;906909.21093860;0
17447.33000000;17447.57000000;17443.51000000;17446.22000000;131.29679000;2023-01-11 08:02:59.999;2290533.55388850;2871;59.98179000;1046417.33522750;0
17446.08000000;17450.00000000;17444.50000000;17447.38000000;184.39422000;2023-01-11 08:03:59.999;3217055.13724790;3558;134.41401000;2345117.70459570;0
17446.77000000;17447.37000000;17443.36000000;17445.33000000;110.80533000;2023-01-11 08:04:59.999;1933026.97095660;3217;56.30079000;982194.39693320;0
17444.95000000;17446.85000000;17443.47000000;17445.92000000;131.41852000;2023-01-11 08:05:59.999;2292622.71438680;3216;54.62938000;953035.25116140;0
17445.92000000;17448.00000000;17443.51000000;17447.11000000;166.51136000;2023-01-11 08:06:59.999;2904935.36574170;3398;66.74253000;1164401.67888930;0
17447.10000000;17447.64000000;17441.69000000;17442.60000000;148.86645000;2023-01-11 08:07:59.999;2596812.37244060;3281;54.56611000;951846.27496870;0
17443.06000000;17443.70000000;17439.84000000;17440.59000000;104.41414000;2023-01-11 08:08:59.999;1821115.08106510;2835;45.64672000;796146.56626370;0
17440.59000000;17442.22000000;17439.35000000;17440.07000000;124.32708000;2023-01-11 08:09:59.999;2168366.08321870;2688;65.43530000;1141261.66628870;0
17440.07000000;17444.00000000;17438.48000000;17439.98000000;308.53187000;2023-01-11 08:10:59.999;5380816.53272080;3218;173.86153000;3032120.54979600;0
17439.14000000;17451.38000000;17439.14000000;17444.03000000;255.52426000;2023-01-11 08:11:59.999;4457493.21929910;3942;166.41806000;2903198.11946320;0
17444.03000000;17444.23000000;17441.88000000;17442.21000000;69.80600000;2023-01-11 08:12:59.999;1217626.82258440;2452;26.92892000;469723.06813080;0
17442.21000000;17443.17000000;17441.00000000;17442.02000000;94.36937000;2023-01-11 08:13:59.999;1645990.99536250;2437;47.66289000;831340.85105550;0
17442.02000000;17448.07000000;17441.10000000;17441.45000000;165.71417000;2023-01-11 08:14:59.999;2890527.14849750;3552;83.36540000;1454189.54152910;0
17441.78000000;17442.01000000;17431.91000000;17433.58000000;146.79959000;2023-01-11 08:15:59.999;2559673.97366300;3459;39.08655000;681539.28986980;0
17433.58000000;17436.29000000;17430.00000000;17430.55000000;139.47239000;2023-01-11 08:16:59.999;2431418.06546270;3414;61.93728000;1079802.07589060;0
17430.12000000;17435.83000000;17429.82000000;17434.10000000;119.26610000;2023-01-11 08:17:59.999;2079181.99283280;3148;58.50786000;1019976.27446850;0
17434.59000000;17436.31000000;17431.19000000;17431.61000000;73.48110000;2023-01-11 08:18:59.999;1281031.45197910;2509;25.65731000;447312.98118930;0
17431.24000000;17431.85000000;17426.81000000;17430.32000000;236.91197000;2023-01-11 08:19:59.999;4129121.74611650;4735;107.94207000;1881341.33500770;0
17430.32000000;17431.21000000;17426.23000000;17428.36000000;127.54121000;2023-01-11 08:20:59.999;2222910.65073560;3042;51.06479000;890034.10679580;0
17428.03000000;17431.66000000;17426.22000000;17429.69000000;95.45427000;2023-01-11 08:21:59.999;1663695.02970330;2660;52.03931000;907020.37551670;0
17429.69000000;17431.44000000;17427.28000000;17430.48000000;100.61877000;2023-01-11 08:22:59.999;1753755.99677460;2642;44.56736000;776808.80059540;0
17430.48000000;17431.08000000;17427.57000000;17427.71000000;99.35300000;2023-01-11 08:23:59.999;1731620.72665970;2682;39.03344000;680322.09592040;0
17427.71000000;17430.93000000;17426.05000000;17427.38000000;152.24148000;2023-01-11 08:24:59.999;2653315.37020360;3841;68.18201000;1188317.76254410;0
17427.74000000;17431.66000000;17426.33000000;17427.18000000;92.63166000;2023-01-11 08:25:59.999;1614429.25115930;2867;47.67694000;830948.57905930;0
17427.64000000;17429.24000000;17408.68000000;17417.55000000;511.96736000;2023-01-11 08:26:59.999;8918146.32252790;7664;210.71951000;3670457.70942270;0
17417.55000000;17426.31000000;17415.51000000;17421.99000000;227.08986000;2023-01-11 08:27:59.999;3956071.67100660;5225;108.89145000;1897012.74355490;0
17421.99000000;17429.25000000;17419.73000000;17428.80000000;154.80231000;2023-01-11 08:28:59.999;2697404.93985920;4069;90.66841000;1579892.87001620;0
17429.20000000;17429.93000000;17424.44000000;17425.97000000;92.80414000;2023-01-11 08:29:59.999;1617273.16587980;3023;37.64517000;656039.58546280;0
17425.44000000;17428.15000000;17424.00000000;17425.72000000;113.49569000;2023-01-11 08:30:59.999;1977802.41487250;3424;59.66820000;1039813.13103850;0
17425.72000000;17427.04000000;17423.70000000;17426.03000000;140.05712000;2023-01-11 08:31:59.999;2440589.41420930;3550;77.07866000;1343168.10142960;0
17426.05000000;17428.93000000;17425.86000000;17428.36000000;116.55784000;2023-01-11 08:32:59.999;2031298.49993680;2855;67.26929000;1172329.39806320;0
17427.90000000;17429.65000000;17426.44000000;17428.81000000;100.02940000;2023-01-11 08:33:59.999;1743291.17256760;2881;55.53354000;967841.29758030;0
17428.81000000;17431.44000000;17427.00000000;17429.32000000;122.19163000;2023-01-11 08:34:59.999;2129677.08379030;2719;62.53230000;1089916.16620460;0
17429.32000000;17432.99000000;17428.05000000;17432.07000000;140.02931000;2023-01-11 08:35:59.999;2440733.28598860;3180;69.28770000;1207739.95772830;0
17432.07000000;17433.13000000;17429.25000000;17430.22000000;211.99379000;2023-01-11 08:36:59.999;3695272.77740360;3790;98.74495000;1721246.05335200;0
17429.82000000;17431.60000000;17426.36000000;17428.44000000;152.64064000;2023-01-11 08:37:59.999;2660364.50739230;3353;71.84299000;1252154.20901020;0
17428.44000000;17429.78000000;17426.82000000;17427.68000000;141.52893000;2023-01-11 08:38:59.999;2466637.22597690;3213;60.02551000;1046171.66369070;0
17427.68000000;17428.82000000;17425.81000000;17428.30000000;88.33370000;2023-01-11 08:39:59.999;1539433.65530270;2801;44.96841000;783695.75006840;0
17428.73000000;17429.69000000;17419.51000000;17420.96000000;201.64898000;2023-01-11 08:40:59.999;3513820.60568670;3818;85.28042000;1486077.91902340;0
17420.96000000;17423.77000000;17413.74000000;17415.67000000;220.69433000;2023-01-11 08:41:59.999;3844238.96127550;4276;106.93558000;1862719.46435470;0
17416.06000000;17420.45000000;17415.09000000;17418.57000000;143.01304000;2023-01-11 08:42:59.999;2491060.28710110;3501;76.71573000;1336280.46341340;0
17418.80000000;17420.41000000;17416.19000000;17419.94000000;106.41483000;2023-01-11 08:43:59.999;1853616.90217420;2958;52.84447000;920511.45224320;0
17420.32000000;17420.77000000;17417.12000000;17420.22000000;65.54911000;2023-01-11 08:44:59.999;1141824.47813320;2222;24.78357000;431704.29386670;0
17420.56000000;17428.05000000;17419.98000000;17425.98000000;166.39610000;2023-01-11 08:45:59.999;2899378.57185940;3564;96.04633000;1673547.55406800;0
17425.94000000;17429.99000000;17424.33000000;17429.42000000;107.00509000;2023-01-11 08:46:59.999;1864821.03981550;3373;66.98853000;1167464.34802920;0
17429.42000000;17430.00000000;17425.69000000;17428.81000000;116.02337000;2023-01-11 08:47:59.999;2022075.98628410;2646;44.13137000;769125.21577040;0
17428.81000000;17430.99000000;17428.00000000;17428.96000000;171.60508000;2023-01-11 08:48:59.999;2990990.79236900;3570;96.92195000;1689302.94084070;0
17428.97000000;17432.41000000;17427.92000000;17431.43000000;99.62857000;2023-01-11 08:49:59.999;1736564.92440190;2814;57.25243000;997914.51675580;0
17431.41000000;17434.97000000;17430.79000000;17434.46000000;102.58655000;2023-01-11 08:50:59.999;1788371.68723180;2933;59.65416000;1039948.38762800;0
17434.06000000;17437.64000000;17433.60000000;17433.65000000;125.92998000;2023-01-11 08:51:59.999;2195720.00531810;3635;64.33481000;1121750.00463760;0
17433.65000000;17436.20000000;17432.63000000;17434.71000000;110.18035000;2023-01-11 08:52:59.999;1920936.90980490;3293;50.50633000;880556.02720040;0
17434.29000000;17436.49000000;17433.00000000;17435.41000000;130.48539000;2023-01-11 08:53:59.999;2274945.44506600;3360;55.21298000;962630.00729000;0
17435.00000000;17436.05000000;17432.46000000;17434.42000000;120.39348000;2023-01-11 08:54:59.999;2098970.87017630;3093;44.29013000;772177.24552800;0
17434.42000000;17435.39000000;17431.69000000;17432.41000000;103.20545000;2023-01-11 08:55:59.999;1799185.07422710;3056;55.24748000;963143.16990850;0
17432.07000000;17433.85000000;17431.43000000;17432.21000000;107.94593000;2023-01-11 08:56:59.999;1881751.53670580;2616;64.51700000;1124687.11230100;0
17432.52000000;17437.32000000;17431.48000000;17437.25000000;111.80913000;2023-01-11 08:57:59.999;1949381.49762150;3069;60.74807000;1059144.83104530;0
17436.92000000;17441.77000000;17435.56000000;17441.77000000;159.03068000;2023-01-11 08:58:59.999;2773249.00473680;4522;97.16844000;1694510.26581560;0
17441.77000000;17450.00000000;17440.89000000;17447.60000000;160.38395000;2023-01-11 08:59:59.999;2798164.68306340;4554;92.31413000;1610549.24848020;0
17447.95000000;17450.87000000;17444.70000000;17445.93000000;126.64608000;2023-01-11 09:00:59.999;2209605.71817100;4144;62.02725000;1082199.60688540;0
17446.30000000;17450.33000000;17445.68000000;17448.65000000;111.61827000;2023-01-11 09:01:59.999;1947503.25146730;3606;54.25579000;946654.57633960;0
17448.30000000;17452.35000000;17447.96000000;17451.09000000;140.69113000;2023-01-11 09:02:59.999;2455123.79545210;3379;65.14264000;1136780.42200520;0
17450.75000000;17453.13000000;17449.47000000;17451.29000000;102.69775000;2023-01-11 09:03:59.999;1792202.30884540;3280;53.86811000;940075.21596240;0
17451.29000000;17457.86000000;17451.26000000;17455.60000000;143.40570000;2023-01-11 09:04:59.999;2503143.11514910;4186;84.93478000;1482534.59878220;0
17455.48000000;17458.20000000;17453.92000000;17455.93000000;161.23274000;2023-01-11 09:05:59.999;2814471.16335630;4151;79.62597000;1389973.95737250;0
17456.33000000;17456.34000000;17450.78000000;17451.64000000;189.72363000;2023-01-11 09:06:59.999;3311463.00965650;4309;71.07484000;1240583.58742380;0
17451.64000000;17456.79000000;17450.84000000;17455.75000000;159.10594000;2023-01-11 09:07:59.999;2777086.97047970;3611;97.31443000;1698567.12206840;0
17455.14000000;17456.23000000;17452.44000000;17452.84000000;172.83790000;2023-01-11 09:08:59.999;3016764.34136660;3618;71.58584000;1249504.01955890;0
17452.85000000;17453.21000000;17449.45000000;17450.22000000;166.04823000;2023-01-11 09:09:59.999;2897752.92635190;3974;65.46265000;1142417.25333460;0
17450.01000000;17450.94000000;17446.72000000;17448.85000000;93.58684000;2023-01-11 09:10:59.999;1632966.77855330;2656;43.51598000;759299.65378930;0
17448.44000000;17450.73000000;17447.14000000;17447.95000000;121.05571000;2023-01-11 09:11:59.999;2112246.35736800;3176;58.91546000;1027994.95796800;0
17447.95000000;17447.96000000;17443.84000000;17444.99000000;134.20958000;2023-01-11 09:12:59.999;2341373.74354900;2923;64.06941000;1117733.95073850;0
17444.59000000;17446.32000000;17442.16000000;17443.60000000;155.73748000;2023-01-11 09:13:59.999;2716723.54243050;3824;78.95421000;1377316.61341600;0
17443.59000000;17446.00000000;17442.65000000;17444.04000000;100.59931000;2023-01-11 09:14:59.999;1754895.61529110;2958;46.52509000;811608.55163960;0
17444.04000000;17445.47000000;17442.95000000;17445.26000000;82.96305000;2023-01-11 09:15:59.999;1447218.92755270;2940;38.90645000;678700.39080850;0
17445.26000000;17452.89000000;17443.12000000;17450.82000000;247.34771000;2023-01-11 09:16:59.999;4315794.62382210;5371;99.17140000;1730423.27927900;0
17450.82000000;17458.51000000;17450.46000000;17455.24000000;195.06452000;2023-01-11 09:17:59.999;3404916.44418410;4219;108.61090000;1895842.95658000;0
17454.79000000;17466.58000000;17453.75000000;17461.31000000;358.49470000;2023-01-11 09:18:59.999;6259621.11224440;6411;213.05181000;3720059.73958310;0
17461.67000000;17463.66000000;17456.45000000;17462.73000000;159.67974000;2023-01-11 09:19:59.999;2787994.04183420;4035;81.87869000;1429619.17770330;0
17462.33000000;17464.48000000;17456.60000000;17462.31000000;302.12049000;2023-01-11 09:20:59.999;5275526.55657410;3987;178.16447000;3111015.53455980;0
17462.31000000;17466.43000000;17449.94000000;17464.06000000;362.14882000;2023-01-11 09:21:59.999;6322859.95564110;5998;126.42906000;2207627.99474710;0
17463.45000000;17472.15000000;17463.45000000;17467.60000000;251.42748000;2023-01-11 09:22:59.999;4391892.52319140;5650;139.68973000;2440114.28731630;0
17467.69000000;17468.34000000;17459.41000000;17461.77000000;164.25704000;2023-01-11 09:23:59.999;2868639.50213990;4499;71.44715000;1247782.59310600;0
17461.36000000;17466.15000000;17461.36000000;17463.40000000;127.88233000;2023-01-11 09:24:59.999;2233356.69825650;3559;72.58609000;1267677.38711360;0
17463.40000000;17465.07000000;17461.03000000;17461.24000000;80.32870000;2023-01-11 09:25:59.999;1402829.65199200;2607;37.82045000;660498.51367380;0
17461.24000000;17462.01000000;17453.55000000;17455.23000000;187.60046000;2023-01-11 09:26:59.999;3275037.21697470;4018;81.32361000;1419708.68798990;0
17455.64000000;17457.99000000;17455.19000000;17455.56000000;131.13345000;2023-01-11 09:27:59.999;2289128.76621040;2957;63.61858000;1110562.36469510;0
17455.89000000;17456.36000000;17448.29000000;17450.98000000;140.14086000;2023-01-11 09:28:59.999;2445801.35670480;3405;44.86941000;783067.46240730;0
17450.62000000;17454.65000000;17449.33000000;17449.90000000;113.68101000;2023-01-11 09:29:59.999;1983967.03309420;3466;61.75835000;1077820.64040310;0
17450.45000000;17454.14000000;17449.33000000;17453.66000000;130.14657000;2023-01-11 09:30:59.999;2271279.82598730;3135;76.21782000;1330132.50525070;0
17453.66000000;17454.56000000;17448.31000000;17448.83000000;78.13808000;2023-01-11 09:31:59.999;1363604.64114250;2765;30.76323000;536864.34412050;0
17448.83000000;17452.17000000;17448.80000000;17450.16000000;77.75148000;2023-01-11 09:32:59.999;1356807.43781520;2724;36.51837000;637269.62392830;0
17450.16000000;17452.46000000;17449.13000000;17450.38000000;97.62514000;2023-01-11 09:33:59.999;1703659.82704880;3119;41.03944000;716192.66133970;0
17450.38000000;17453.61000000;17449.29000000;17453.15000000;106.51793000;2023-01-11 09:34:59.999;1858935.40924880;2748;49.86738000;870283.38638500;0
17453.15000000;17454.52000000;17450.00000000;17453.97000000;116.14346000;2023-01-11 09:35:59.999;2027034.51425530;2944;49.67182000;866942.96121620;0
17453.97000000;17460.97000000;17453.62000000;17459.95000000;195.14064000;2023-01-11 09:36:59.999;3406727.59545810;4372;113.58643000;1982955.26903510;0
17459.95000000;17460.32000000;17456.01000000;17457.10000000;109.75644000;2023-01-11 09:37:59.999;1916134.20638180;3216;45.77634000;799177.14408990;0
17457.10000000;17459.70000000;17454.38000000;17458.52000000;80.12272000;2023-01-11 09:38:59.999;1398702.43589150;3045;41.29145000;720832.95327270;0
17458.72000000;17458.94000000;17455.11000000;17456.46000000;85.44607000;2023-01-11 09:39:59.999;1491679.52967020;2712;43.51397000;759653.09149430;0
17456.08000000;17460.16000000;17455.47000000;17459.79000000;59.53507000;2023-01-11 09:40:59.999;1039351.27721210;2217;37.41127000;653118.32487130;0
17459.79000000;17460.26000000;17457.04000000;17457.66000000;96.50973000;2023-01-11 09:41:59.999;1684959.69456790;2870;42.15518000;736000.41070880;0
17457.31000000;17461.21000000;17456.92000000;17460.31000000;140.82872000;2023-01-11 09:42:59.999;2458816.09891590;3896;77.05900000;1345431.30210990;0
17460.31000000;17466.24000000;17459.78000000;17461.99000000;165.98363000;2023-01-11 09:43:59.999;2898462.06553770;3962;84.00208000;1466904.70032540;0
17462.01000000;17463.42000000;17460.84000000;17461.77000000;74.67357000;2023-01-11 09:44:59.999;1303951.82378090;2314;35.96238000;627982.18451770;0
17462.16000000;17462.92000000;17456.43000000;17458.79000000;99.18783000;2023-01-11 09:45:59.999;1731799.75735100;2668;35.20975000;614751.05517330;0
17458.54000000;17459.91000000;17455.02000000;17456.13000000;97.66690000;2023-01-11 09:46:59.999;1705012.07358760;2853;40.71274000;710750.95467330;0
17456.22000000;17456.59000000;17450.72000000;17451.96000000;105.23668000;2023-01-11 09:47:59.999;1836661.33740450;2648;45.07635000;786691.55014180;0
17451.61000000;17455.89000000;17451.22000000;17453.17000000;95.35070000;2023-01-11 09:48:59.999;1664234.64732480;2166;53.26942000;929751.80358610;0
17452.91000000;17453.39000000;17450.72000000;17450.74000000;54.98970000;2023-01-11 09:49:59.999;959695.72722730;1745;21.14056000;368956.99195720;0
17451.18000000;17451.39000000;17447.11000000;17447.12000000;84.51425000;2023-01-11 09:50:59.999;1474742.44722260;2336;38.14888000;665700.60188470;0
17447.35000000;17449.47000000;17447.11000000;17448.71000000;49.26198000;2023-01-11 09:51:59.999;859544.15043490;1838;32.08045000;559757.20962740;0
17448.71000000;17451.95000000;17447.22000000;17451.46000000;103.45059000;2023-01-11 09:52:59.999;1805192.20068720;2688;52.26735000;912067.51535460;0
17451.46000000;17454.96000000;17450.86000000;17453.57000000;97.26515000;2023-01-11 09:53:59.999;1697538.04146920;2128;55.66397000;971494.24735460;0
17453.91000000;17454.37000000;17452.71000000;17453.19000000;81.95115000;2023-01-11 09:54:59.999;1430320.24825120;2150;33.89426000;591577.32790620;0
17453.19000000;17453.88000000;17448.87000000;17448.87000000;73.26500000;2023-01-11 09:55:59.999;1278577.55673080;2126;24.08637000;420343.33928850;0
17449.17000000;17449.28000000;17443.35000000;17445.92000000;147.40831000;2023-01-11 09:56:59.999;2571620.82034120;2981;62.77818000;1095199.05923780;0
17445.91000000;17446.65000000;17443.00000000;17443.50000000;115.12534000;2023-01-11 09:57:59.999;2008316.88826060;2795;49.44995000;862647.80292650;0
17443.13000000;17447.96000000;17439.70000000;17444.64000000;216.36935000;2023-01-11 09:58:59.999;3774153.47075240;4172;95.56071000;1666900.41000260;0
17445.07000000;17448.00000000;17442.01000000;17446.71000000;140.73336000;2023-01-11 09:59:59.999;2455029.26004650;3301;67.68522000;1180760.20577580;0
17446.86000000;17447.50000000;17444.79000000;17446.68000000;102.52906000;2023-01-11 10:00:59.999;1788719.28321960;2717;45.55856000;794826.64223050;0
17447.04000000;17447.49000000;17444.84000000;17445.60000000;77.74568000;2023-01-11 10:01:59.999;1356350.15798630;2207;30.78886000;537150.47478290;0
17445.18000000;17446.69000000;17443.22000000;17443.73000000;80.64718000;2023-01-11 10:02:59.999;1406885.11826610;2150;32.35777000;564485.71126790;0
17443.73000000;17445.73000000;17443.73000000;17444.38000000;68.46646000;2023-01-11 10:03:59.999;1194381.99664010;2104;29.14017000;508350.43261480;0
17444.63000000;17445.32000000;17442.76000000;17443.40000000;81.62155000;2023-01-11 10:04:59.999;1423787.16759520;2271;29.95519000;522540.33603500;0
17443.03000000;17446.55000000;17442.58000000;17445.64000000;108.34388000;2023-01-11 10:05:59.999;1889962.14041600;2677;57.04598000;995127.98002580;0
17445.53000000;17449.48000000;17445.13000000;17447.48000000;115.25826000;2023-01-11 10:06:59.999;2010987.79718020;2804;54.86097000;957200.92588460;0
17447.48000000;17450.90000000;17446.77000000;17450.59000000;101.83320000;2023-01-11 10:07:59.999;1776948.11775750;2948;53.46266000;932909.54599390;0
